PartnerID;PartnerFullName;Lastname;FirstName;BirthDate;Gender;PostalCode;City;Address;isCustomer;isSupplier;isShipper;Phone;Email
;Ódor Szilárda;Ódor;Szilárda;2004.06.22;;1141;Budapest;Ugró Gyula sor 11 8/50;1;0;0;+36(30)334-72-21;odor.szilarda@gmail.com
;Oravecz Konor;Oravecz;Konor;2004.06.16;;1074;Budapest;Krisztina körút 23 fsz/1;1;0;0;+36(30)233-63-67;oravecz.konor@zoho.com
;Sas Mirea;Sas;Mirea;2004.04.10;;3529;Miskolc;Szabadság  tér 26/2 3/10;1;0;0;+36(70)220-62-30;sas.mirea@gmail.com
;Lantos Zlatan;Lantos;Zlatan;2004.04.07;;4900;Fehérgyarmat;Berzsenyi Dániel utca 1;1;0;0;+36(70)295-35-40;lantos.zlatan@gmail.com
;Agárdi Bánk;Agárdi;Bánk;2004.03.18;;9400;Sopron;Muskátli utca 5;1;0;0;+36(30)490-21-42;agardi.bank@citromail.hu
;Ötvös Paulina;Ötvös;Paulina;2004.01.04;;2737;Ceglédbercel;Budai Nagy Antal utca 2 2/4;1;0;0;+36(30)689-82-47;otvos.paulina@gmail.com
;Maczkó Márkus;Maczkó;Márkus;2003.12.10;;1047;Budapest;Agyag  utca 10;1;0;0;+36(30)365-36-44;maczko.markus@zoho.com
;Polák Arienn;Polák;Arienn;2003.12.04;;3188;Ludányhalászi;Sodronyos  utca 42;1;0;0;+36(70)537-28-76;polak.arienn@gmail.com
;Bárdos Ika;Bárdos;Ika;2003.09.22;;5400;Mezőtúr;Göncöl utca 41/A 8 lcs. Fsz./2;1;0;0;+36(70)201-45-23;bardos.ika@freemail.hu
;Góman Kerecsen;Góman;Kerecsen;2003.09.10;;8291;Nagyvázsony;Boncsok utca 2b;1;0;0;+36(70)739-57-89;goman.kerecsen@gmail.com
;Tarjáni Hiacinta;Tarjáni;Hiacinta;2003.08.25;;4031;Debrecen;Költő Nagy Imre utca 76;1;0;0;+36(70)320-95-37;tarjani.hiacinta@yandex.com
